Source	Interaction	Target
P24941	controls-phosphorylation-of	Q99638
P24941	controls-phosphorylation-of	P06400
P24941	controls-phosphorylation-of	P30050
P24941	controls-phosphorylation-of	P42677
P24941	controls-phosphorylation-of	P23396
P24941	controls-phosphorylation-of	P31350
P24941	controls-phosphorylation-of	Q9Y3Z3
P24941	controls-phosphorylation-of	O75533
P24941	controls-phosphorylation-of	O95295
P24941	controls-phosphorylation-of	Q13573
P24941	controls-phosphorylation-of	Q8IYB3
P24941	controls-phosphorylation-of	P16949
P24941	controls-phosphorylation-of	Q9H7L9
P24941	controls-phosphorylation-of	Q9NYB0
P24941	controls-phosphorylation-of	Q15554
P24941	controls-phosphorylation-of	Q9Y2W1
P24941	controls-phosphorylation-of	Q9C0C2
P24941	controls-phosphorylation-of	Q5JTV8
P24941	controls-phosphorylation-of	Q12888
P24941	controls-phosphorylation-of	Q9ULW0
P24941	controls-phosphorylation-of	Q9C0C9
P24941	controls-phosphorylation-of	P18887
P24941	controls-phosphorylation-of	P12956
P24941	controls-phosphorylation-of	Q86VM9
P24941	controls-phosphorylation-of	Q86WB0
P24941	controls-phosphorylation-of	O15014
P24941	controls-phosphorylation-of	Q15942
P46527	controls-phosphorylation-of	P06400
O14757	controls-phosphorylation-of	P35611
O14757	controls-phosphorylation-of	P35612
O14757	controls-phosphorylation-of	Q9BRD0
O14757	controls-phosphorylation-of	Q53F19
O14757	controls-phosphorylation-of	Q9H8G2
O14757	controls-phosphorylation-of	P06493
O14757	controls-phosphorylation-of	Q9P2D1
O14757	controls-phosphorylation-of	Q6PD62
O14757	controls-phosphorylation-of	P39748
O14757	controls-phosphorylation-of	Q00341
O14757	controls-phosphorylation-of	P18858
O14757	controls-phosphorylation-of	P43243
O14757	controls-phosphorylation-of	Q14676
O14757	controls-phosphorylation-of	P46013
O14757	controls-phosphorylation-of	O75592
O14757	controls-phosphorylation-of	Q9BXB4
O14757	controls-phosphorylation-of	O75151
O14757	controls-phosphorylation-of	Q9Y570
O14757	controls-phosphorylation-of	Q14738
O14757	controls-phosphorylation-of	O43395
O14757	controls-phosphorylation-of	Q9H0H5
O14757	controls-phosphorylation-of	P49792
O14757	controls-phosphorylation-of	Q8IY67
O14757	controls-phosphorylation-of	P06400
O14757	controls-phosphorylation-of	P26373
O14757	controls-phosphorylation-of	Q9HC62
O14757	controls-phosphorylation-of	Q96ST3
O14757	controls-phosphorylation-of	Q9NWH9
O14757	controls-phosphorylation-of	Q9UQ35
O14757	controls-phosphorylation-of	Q12888
O14757	controls-phosphorylation-of	Q13263
O14757	controls-phosphorylation-of	Q14669
O14757	controls-phosphorylation-of	Q96RL1
O14757	controls-phosphorylation-of	P12956
O14757	controls-phosphorylation-of	P67809
O14757	controls-phosphorylation-of	Q86WB0
P67870	controls-phosphorylation-of	Q92997
P67870	controls-phosphorylation-of	Q9BPX3
P67870	controls-phosphorylation-of	Q08174-2
P35221	controls-phosphorylation-of	Q12959
P35221	controls-phosphorylation-of	P00533
P35221	controls-phosphorylation-of	P12931
Q99704-3	controls-phosphorylation-of	P04049
P00533	controls-phosphorylation-of	P31749
P00533	controls-phosphorylation-of	P09211
P00533	controls-phosphorylation-of	Q9NWQ8
P00533	controls-phosphorylation-of	Q92529
P00533	controls-phosphorylation-of	P12931
P00533	controls-phosphorylation-of	P40763
P54762	controls-phosphorylation-of	Q9Y2X7
P54762	controls-phosphorylation-of	P12931
P54753	controls-phosphorylation-of	Q9Y2X7
O95684-2	controls-phosphorylation-of	P40763
Q13480-2	controls-phosphorylation-of	P31749
Q13480-2	controls-phosphorylation-of	Q9NWQ8
Q9UQC2-2	controls-phosphorylation-of	P31749
P49841	controls-phosphorylation-of	P35612
P49841	controls-phosphorylation-of	O75122
P49841	controls-phosphorylation-of	Q14194
P49841	controls-phosphorylation-of	Q16555
P49841	controls-phosphorylation-of	Q13541
P49841	controls-phosphorylation-of	P10071
P49841	controls-phosphorylation-of	P56524
P49841	controls-phosphorylation-of	P16401
P49841	controls-phosphorylation-of	Q00613
P49841	controls-phosphorylation-of	Q9BYG3
P49841	controls-phosphorylation-of	P11388
P07900	controls-phosphorylation-of	P31749
P11717	controls-phosphorylation-of	Q9Y4H2
P46940	controls-phosphorylation-of	P15056
O95235	controls-phosphorylation-of	O43663
Q8IVT5-4	controls-phosphorylation-of	P15056
Q8IVT5-4	controls-phosphorylation-of	P04049
P07948-2	controls-phosphorylation-of	P00519-2
P07948-2	controls-phosphorylation-of	P31749
P07948-2	controls-phosphorylation-of	P46527
P07948-2	controls-phosphorylation-of	Q99704-3
P07948-2	controls-phosphorylation-of	P00533
P07948-2	controls-phosphorylation-of	Q9UQC2-2
P07948-2	controls-phosphorylation-of	P55196-3
P07948-2	controls-phosphorylation-of	P30419
P07948-2	controls-phosphorylation-of	Q05655
P07948-2	controls-phosphorylation-of	P49023
P07948-2	controls-phosphorylation-of	P29353-2
P07948-2	controls-phosphorylation-of	P40763
P07948-2	controls-phosphorylation-of	Q13263
Q14676	controls-phosphorylation-of	Q13263
P55196-3	controls-phosphorylation-of	P12931
P49959-2	controls-phosphorylation-of	Q13263
O60934	controls-phosphorylation-of	Q13263
Q96PY6-4	controls-phosphorylation-of	O14777
P21359-2	controls-phosphorylation-of	P31749
Q9NWQ8	controls-phosphorylation-of	P07948-2
Q13177	controls-phosphorylation-of	P00519-2
Q13177	controls-phosphorylation-of	Q05682-3
Q13177	controls-phosphorylation-of	Q05682-5
Q13177	controls-phosphorylation-of	Q04637-7
Q13177	controls-phosphorylation-of	P16949
O96013	controls-phosphorylation-of	P49023
O96013	controls-phosphorylation-of	P16949
Q9NVD7	controls-phosphorylation-of	P31749
Q96KB5	controls-phosphorylation-of	P81274
Q96KB5	controls-phosphorylation-of	O43663
P16234	controls-phosphorylation-of	P12931
O15530-4	controls-phosphorylation-of	P31749
O15530-4	controls-phosphorylation-of	P17252
O15530-4	controls-phosphorylation-of	Q05655
O15530-4	controls-phosphorylation-of	Q15418
O15530-4	controls-phosphorylation-of	P51812
Q8IZL8	controls-phosphorylation-of	P31749
Q14738	controls-phosphorylation-of	P31749
Q13131	controls-phosphorylation-of	Q13085
Q13131	controls-phosphorylation-of	P46527
Q13131	controls-phosphorylation-of	Q92538
Q13131	controls-phosphorylation-of	O60825
Q13131	controls-phosphorylation-of	Q9Y478
Q9Y478	controls-phosphorylation-of	Q8N122-3
Q9Y478	controls-phosphorylation-of	P49815-5
P17612-2	controls-phosphorylation-of	Q9UKG1
P17612-2	controls-phosphorylation-of	P52565-2
P17612-2	controls-phosphorylation-of	P05023-3
P17612-2	controls-phosphorylation-of	Q92934
P17612-2	controls-phosphorylation-of	Q05682-3
P17612-2	controls-phosphorylation-of	Q05682-5
P17612-2	controls-phosphorylation-of	Q13185
P17612-2	controls-phosphorylation-of	P16070-18
P17612-2	controls-phosphorylation-of	Q00536
P17612-2	controls-phosphorylation-of	P39880
P17612-2	controls-phosphorylation-of	Q9H3Z4
P17612-2	controls-phosphorylation-of	O00429-4
P17612-2	controls-phosphorylation-of	P21333-2
P17612-2	controls-phosphorylation-of	Q06210-2
P17612-2	controls-phosphorylation-of	P10071
P17612-2	controls-phosphorylation-of	P49841
P17612-2	controls-phosphorylation-of	P10412
P17612-2	controls-phosphorylation-of	Q00613
P17612-2	controls-phosphorylation-of	P07900
P17612-2	controls-phosphorylation-of	Q8IVT5-4
P17612-2	controls-phosphorylation-of	O75376-2
P17612-2	controls-phosphorylation-of	Q9NXR1-2
P17612-2	controls-phosphorylation-of	Q92597
P17612-2	controls-phosphorylation-of	Q07343-3
P17612-2	controls-phosphorylation-of	O60825
P17612-2	controls-phosphorylation-of	Q16875-3
P17612-2	controls-phosphorylation-of	Q15054
P17612-2	controls-phosphorylation-of	P20265
P17612-2	controls-phosphorylation-of	Q8TAE6
P17612-2	controls-phosphorylation-of	Q14738
P17612-2	controls-phosphorylation-of	P26599
P17612-2	controls-phosphorylation-of	Q05209-2
P17612-2	controls-phosphorylation-of	P04049
P17612-2	controls-phosphorylation-of	P06400
P17612-2	controls-phosphorylation-of	Q9Y6R1-2
P17612-2	controls-phosphorylation-of	O95295
P17612-2	controls-phosphorylation-of	P48436
P17612-2	controls-phosphorylation-of	Q01082
P17612-2	controls-phosphorylation-of	P12931
P17612-2	controls-phosphorylation-of	Q07955
P17612-2	controls-phosphorylation-of	Q9Y6E0-2
P17612-2	controls-phosphorylation-of	P16949
P17612-2	controls-phosphorylation-of	Q9UMX1-2
P17612-2	controls-phosphorylation-of	O94811
P10644	controls-phosphorylation-of	P10071
P17252	controls-phosphorylation-of	P35611
P17252	controls-phosphorylation-of	P35612
P17252	controls-phosphorylation-of	P31749
P17252	controls-phosphorylation-of	P07355
P17252	controls-phosphorylation-of	Q9NRY4
P17252	controls-phosphorylation-of	P52565-2
P17252	controls-phosphorylation-of	P15056
P17252	controls-phosphorylation-of	P16070-18
P17252	controls-phosphorylation-of	P00533
P17252	controls-phosphorylation-of	Q16658
P17252	controls-phosphorylation-of	P81274
P17252	controls-phosphorylation-of	P49841
P17252	controls-phosphorylation-of	P09211
P17252	controls-phosphorylation-of	Q5JVS0
P17252	controls-phosphorylation-of	P46940
P17252	controls-phosphorylation-of	P32004-3
P17252	controls-phosphorylation-of	P29966
P17252	controls-phosphorylation-of	P35579
P17252	controls-phosphorylation-of	O75376-2
P17252	controls-phosphorylation-of	Q9UQ80
P17252	controls-phosphorylation-of	P30086
P17252	controls-phosphorylation-of	Q16875-3
P17252	controls-phosphorylation-of	Q06124-2
P17252	controls-phosphorylation-of	Q05209-2
P17252	controls-phosphorylation-of	P04049
P17252	controls-phosphorylation-of	Q15311
P17252	controls-phosphorylation-of	O14745
Q05655	controls-phosphorylation-of	P49841
Q05655	controls-phosphorylation-of	P61978
Q05655	controls-phosphorylation-of	Q9UQ80
Q05655	controls-phosphorylation-of	P30086
Q05655	controls-phosphorylation-of	P04049
Q05655	controls-phosphorylation-of	P23396
Q05655	controls-phosphorylation-of	P62753
Q05655	controls-phosphorylation-of	P12931
Q05655	controls-phosphorylation-of	P40763
P25788-2	controls-phosphorylation-of	P10071
Q99460-2	controls-phosphorylation-of	P10071
Q13200	controls-phosphorylation-of	P10071
P21246	controls-phosphorylation-of	Q14247-3
P21246	controls-phosphorylation-of	P12931
Q06124-2	controls-phosphorylation-of	P31749
Q06124-2	controls-phosphorylation-of	Q9NRY4
Q06124-2	controls-phosphorylation-of	P00533
Q06124-2	controls-phosphorylation-of	Q13480-2
Q06124-2	controls-phosphorylation-of	Q9NWQ8
P18433-4	controls-phosphorylation-of	P12931
Q99638	controls-phosphorylation-of	P49736
Q99638	controls-phosphorylation-of	O60934
P04049	controls-phosphorylation-of	Q92934
P04049	controls-phosphorylation-of	P06400
Q15311	controls-phosphorylation-of	P31749
Q15418	controls-phosphorylation-of	Q92934
Q15418	controls-phosphorylation-of	Q96RK0
Q15418	controls-phosphorylation-of	P23588
Q15418	controls-phosphorylation-of	P49841
Q15418	controls-phosphorylation-of	P62753
Q15418	controls-phosphorylation-of	P67809
P51812	controls-phosphorylation-of	Q92934
P51812	controls-phosphorylation-of	Q96RK0
P51812	controls-phosphorylation-of	P49841
P51812	controls-phosphorylation-of	O15530-4
P51812	controls-phosphorylation-of	Q9H6Z4-3
P51812	controls-phosphorylation-of	P62753
P51812	controls-phosphorylation-of	P40763
P51812	controls-phosphorylation-of	P67809
Q8N122-3	controls-phosphorylation-of	Q13541
Q8N122-3	controls-phosphorylation-of	Q00613
P29353-2	controls-phosphorylation-of	P31749
P29353-2	controls-phosphorylation-of	Q99704-3
P29353-2	controls-phosphorylation-of	Q05655
Q92529	controls-phosphorylation-of	P31749
Q9Y2K2	controls-phosphorylation-of	Q53ET0
P12931	controls-phosphorylation-of	P31749
P12931	controls-phosphorylation-of	P06493
P12931	controls-phosphorylation-of	P46527
P12931	controls-phosphorylation-of	P00533
P12931	controls-phosphorylation-of	Q9Y2X7
P12931	controls-phosphorylation-of	P17302
P12931	controls-phosphorylation-of	P61978
P12931	controls-phosphorylation-of	P08238
P12931	controls-phosphorylation-of	P46940
P12931	controls-phosphorylation-of	Q92945
P12931	controls-phosphorylation-of	Q9Y2U5
P12931	controls-phosphorylation-of	O95297
P12931	controls-phosphorylation-of	Q8IZL8
P12931	controls-phosphorylation-of	Q05655
P12931	controls-phosphorylation-of	P49023
P12931	controls-phosphorylation-of	P04049
P12931	controls-phosphorylation-of	P51812
P12931	controls-phosphorylation-of	Q13435
P12931	controls-phosphorylation-of	Q92529
P12931	controls-phosphorylation-of	P40763
P12931	controls-phosphorylation-of	Q9Y2W1
P12931	controls-phosphorylation-of	Q9UPT8
P40763	controls-phosphorylation-of	P31749
P24821	controls-phosphorylation-of	P12931
Q12888	controls-phosphorylation-of	Q13263
Q9H4A3	controls-phosphorylation-of	Q9UEW8
P62258	controls-phosphorylation-of	Q53ET0
P62258	controls-phosphorylation-of	P04049
P61244-2	controls-expression-of	Q05682-3
P61244-2	controls-expression-of	Q05682-5
P61244-2	controls-expression-of	P24941
P61244-2	controls-expression-of	P46527
P61244-2	controls-expression-of	Q04637-7
P61244-2	controls-expression-of	P02794
P61244-2	controls-expression-of	P17096-2
P61244-2	controls-expression-of	P17096
P61244-2	controls-expression-of	P07900
P61244-2	controls-expression-of	P10809
P61244-2	controls-expression-of	Q13330
P61244-2	controls-expression-of	Q86UE4
P61244-2	controls-expression-of	O60934
P61244-2	controls-expression-of	P19338
P61244-2	controls-expression-of	Q92597
P61244-2	controls-expression-of	P15531
P61244-2	controls-expression-of	P06454-2
P61244-2	controls-expression-of	P18754
P61244-2	controls-expression-of	P49815-5
P61244-2	controls-expression-of	Q07352
Q8IXJ6-2	controls-expression-of	P46527
Q16514	controls-expression-of	P24941
Q16514	controls-expression-of	P10809
Q13263	controls-expression-of	P46527
Q9Y4A5-2	controls-expression-of	Q05682-3
Q9Y4A5-2	controls-expression-of	Q05682-5
Q9Y4A5-2	controls-expression-of	P24941
Q9Y4A5-2	controls-expression-of	P10809
Q9Y4A5-2	controls-expression-of	P19338
Q9Y4A5-2	controls-expression-of	P15531
Q9Y4A5-2	controls-expression-of	P06454-2
P62328		
P08670		
Q13541		
P49006		
P08238		
P05114		
Q9UK76		
P63313		
Q71U36		
P68363		
P07900		
P16949		
Q9H1E3		
P63104		
Q9H3Q1		
P17096		
P05387		
P62258		
P23528		
P29966		
O43768-2		
Q7Z7L8		
P17096-2		
P06748-2		
P11137-4		
P07910		
P07910-2		
P11142		
P56211		
P24534		
P48681		
P55072		
P07355		
P19105		
Q86VQ1		
P61978		
Q01130		
Q16658		
P05386		
P10636-2		
Q9H910		
Q9Y5S9		
Q8IXM2-2		
P37802		
P60174		
Q969E4		
P51397		
P51858-2		
Q05682-5		
Q13501-2		
Q7Z422-4		
Q8IW50-5		
P09651-2		
P02794		
Q05682-3		
O43852-2		
Q9UKY7-2		
Q8WW12		
Q8TAE6		
O75324		
Q9UK76-2		
P52565-2		
Q96E09		
P17677		
P09211		
Q15836		
Q13263		
P02545-2		
Q92934		
P53999		
P02545-3		
Q9H6F5		
P0CG34		
Q16555		
Q9UHB6		
P15531		
P11137		
Q99733		
P67809		
Q13185		
P11216		
Q15651		
P46821		
Q8IYB3		
Q00839-2		
Q08495		
Q8NC51		
P42167		
Q96AT1		
Q96B36		
P45973		
Q9UQ35		
Q9NYF8-3		
P60468		
P42677		
Q4VC05		
Q15942		
O00193		
Q13480-2		
Q99547		
Q68E05		
P27824		
O94811		
P23588		
Q00587		
P20700		
O00264		
P20962		
Q15084		
O95218-2		
Q9UQC2-2		
P54105		
P10809		
Q86WB0		
Q15121		
P18615		
Q12906		
Q01581		
P06454-2		
P63165		
P22392-2		
Q9NQC3-2		
Q12906-7		
Q15649		
Q9H3Z4		
O43752		
P12956		
Q01105-2		
Q9BRD0		
O75379		
Q8IY57		
Q13442		
O43741		
Q6NUK4		
P05204		
P15884-2		
Q8N350		
Q9BSJ6-2		
Q9H3N1		
P32119		
Q96D71-4		
Q12857-2		
Q99638		
Q92945		
P33316-2		
Q9NR55		
Q02543		
P19338		
Q9NZ63		
P35659		
Q96JM3		
Q9UI15		
Q96D71-3		
Q92974-3		
O43294-2		
P09429		
Q9NYB9-2		
Q14697-2		
Q8N6H7		
P10636		
Q9UJU6		
Q6ICG6		
P55081		
P08651-5		
P00558		
O15173-2		
O60716-21		
Q7L8J4		
Q99618		
Q8TBF4		
P30050		
Q9Y2X7		
Q92890-2		
P35711-2		
Q96QF0-8		
Q9Y4J8-6		
O43719		
Q07955		
O95197-3		
P35712-4		
Q9NXR1-2		
P07196		
O60936-2		
Q8N568		
Q99442		
Q9H009		
Q8N7R7-3		
O43602-3		
O14828		
P53367-2		
Q12888		
O14966-3		
O00571-2		
E9PCV4		
P18887		
Q16643		
Q9BUH6		
P05455		
Q13177		
P04049		
Q9NZ72		
Q6IAA8		
Q9NRA8		
P30086		
Q9H2U2-4		
O00571		
Q96EY5		
A8K3D0		
Q9Y2W1		
Q15545		
Q96MW1		
Q8IXK0-2		
P27816-6		
P46527		
Q96B97-2		
Q96S90-2		
Q14103-3		
O43602-2		
Q8ND56-2		
Q9Y657		
P38159		
Q14161-5		
Q9NS69		
Q8NEY8-5		
Q96I25		
Q14247-3		
Q765P7		
P46783		
P31943		
Q15036		
P49023		
A6NIH7		
Q14653-3		
Q5JTV8		
P10412		
O60832		
O60784-3		
O75446		
Q92522		
P29692		
Q86U42		
Q08945		
Q9C0C2		
Q8TCD5		
Q7Z5L9-2		
Q15691		
Q14160		
Q9H0B6-2		
Q14195-2		
Q15366		
Q9Y6G9		
Q14155-2		
P84157-2		
P50548		
Q01167		
Q9BW71		
Q53TN4		
Q13200		
Q7L2J0		
Q6P6C2-2		
P35613-4		
O43583		
Q8WWM7-4		
Q96GV9		
Q05D32		
Q9H1B7		
Q16514		
Q92786		
Q8IU81		
P17600-2		
P54725		
P78559		
Q641Q2		
O96013		
Q8IWS0-2		
P47736-4		
Q13425		
P57073		
Q9UBC2		
Q9P0L2		
P35716		
Q9BYI3		
O75475		
Q9HC52		
Q5SW79		
Q96A57		
Q00688		
Q8IWW6		
Q96I24		
P35269		
P23396		
Q8WX93-4		
Q9NZZ3-2		
Q9NZT2		
P52926-2		
Q9Y294		
Q13247		
Q9BUJ2-4		
Q9UPQ0-9		
Q3B726		
Q9BTA9-5		
O15085		
Q9H019		
Q9P2B4		
Q9Y3X0		
Q96RU3		
Q6NZI2		
Q96JP5		
Q9H307		
Q13884		
Q14194		
Q96A49		
Q7Z4V5-2		
Q14155		
Q96TA1-2		
Q5VT52		
Q8IZ21		
Q8N6N3		
Q86W92-3		
Q8NAV1		
P22234		
P30305-3		
P20338		
O43493-2		
Q9Y4E1-6		
Q9H6Z4-3		
P22059		
Q9Y570		
Q9NUL3		
Q676U5-5		
P54727		
O95674		
Q8NEF9		
Q9H410-4		
Q9UQB8-5		
O75781-2		
P31948		
O95295		
P16989		
Q9Y4F1		
Q5VTL8		
Q8IZP0-2		
Q8WVK2		
O00712		
Q92597		
Q9P0V3		
Q68EM7		
O14745		
P25205		
Q92769		
Q03252		
Q9UEY8-2		
Q9NY27		
P49116-2		
Q9H8M2-5		
O75396		
Q8N8S7-2		
Q13951-2		
Q8IWS0		
Q9H8Y8-2		
Q15742		
P85037		
P43243		
Q8WXI9		
Q9NPQ8-3		
Q13547		
O43236-2		
Q05519-2		
Q01658		
Q9BRY0		
Q5JSH3-2		
P25490		
P11217		
O75822		
P49321-4		
Q9Y343		
P16070-18		
Q9BQI0		
P26373		
Q53T59		
P61244-2		
Q96FF9		
P35611		
Q96B23		
O00192		
P41208		
P50914		
Q96EI5		
P67870		
I6L9B1		
O95232		
Q9H8G2		
Q8NAF0		
Q8IX90-3		
Q6UN15-5		
Q9UHD8-2		
B4DKX4		
Q6PKG0-3		
Q9NQC3		
O00559		
O95400		
Q1KMD3		
Q8N2F6-6		
P51812		
O15155		
Q8NCF5		
P16401		
Q9BXK5		
Q9HB90		
Q14676		
Q8IZD4		
P17252		
Q05209-2		
Q7KZF4		
P52594-2		
Q8N4S0		
O15258		
Q9H4L5-3		
Q86UU1-2		
Q7Z2W4-2		
O43237		
O00499-6		
Q12929		
Q9NP61		
Q4G0J3		
Q9BWF3-3		
Q9BVC5		
Q16352		
Q15052		
Q13557-8		
Q9ULX3		
O60573		
Q03111		
Q8N1G0		
Q9H5H4		
Q15019		
Q9BVS4-2		
B4DG79		
Q9UQB3		
Q86TN4-2		
Q15170-2		
Q9Y5P4		
Q3KQU3		
Q92499		
Q15637-4		
Q9NRH2		
Q13188		
Q9C040		
A0MZ66		
P17029		
P55327-2		
Q9C0B5		
O14713-2		
Q9UFC0		
P83916		
P05771-2		
Q8IZ40		
Q9NWQ8		
P49207		
Q9H7L9		
Q5ZPR3-2		
Q07157-2		
Q02952-2		
P15056		
Q15424-2		
O43491		
Q9P016-2		
Q96S66-2		
Q9Y4H2		
P83731		
Q96T37-3		
P49321-2		
P12931		
Q92738		
Q7Z417		
Q9H5J0		
Q8WVV9-4		
P78347-2		
Q96SI1-2		
Q8TDB6		
P46776		
Q92997		
Q13451		
P46777		
Q9Y2U5		
O94763		
Q96KB5		
O95365		
Q96HC4		
Q5JTD0-2		
Q15418		
Q9NYL2		
Q9UBF8-2		
Q14157		
Q07866-10		
P49585		
Q08AE8-5		
Q9UGU5		
O75821		
Q15776		
P42166		
O43353		
Q99081		
Q9Y2X3		
P06493		
P21246		
Q0JRZ9-3		
P24941		
Q9Y250		
P78414		
Q9UEE9		
Q14677-2		
P40763		
Q14498-2		
Q8NEY1		
P49841		
Q9UK33		
Q9Y6R0		
Q6Y7W6		
Q9P1Y6-3		
Q5T0N5-3		
P31749		
Q9UKG1		
Q14938-3		
P49327		
Q9NYI0-3		
Q99460-2		
P15923-2		
Q01518		
Q53ET0		
O43516		
Q9NV56		
Q9Y3Q8		
Q92615		
P27707		
P55265-5		
Q9BVG4		
Q12959		
P17612-2		
Q14980		
Q9UNF1		
Q7Z569		
O94876		
Q9Y281		
Q9UK58		
P20042		
Q16637-4		
P98174		
P51513-2		
Q3MHD2		
O75496		
P22694-10		
O95425-2		
Q7Z460		
Q86XP3		
Q14814		
Q8IXJ6-2		
Q9H4Z3		
Q86U06-2		
Q9UKI2		
Q8N1F7		
Q8N3F8		
Q8WXF7-2		
Q9Y478		
P16333-2		
P08138		
Q15459		
O15379		
Q6DN90		
Q9ULH1		
Q8NDT2		
Q9NWB6		
O75122		
Q9NSK0		
Q9Y266		
Q8NDC0		
Q99719-2		
Q92609		
O00567		
Q53H80		
Q00537-2		
Q15311		
Q9Y3Z3		
O95684-2		
P42574		
Q9P2F8		
P35221		
Q9BQ61		
Q07352		
Q9NXG2		
Q05655		
Q13131		
O76021		
Q92529		
P20020-3		
Q92733		
Q9P246		
P04637-8		
Q86XD5		
P49959-2		
P16234		
Q86VM9		
O14979		
O95819-4		
Q15326-4		
Q9NX63		
Q9Y2X9		
P33240		
Q9H7N4		
P17844		
O14523-2		
Q8WVC0		
O95671-2		
Q16666-2		
Q92560		
Q99569-2		
Q9ULE3		
Q13330		
Q9P0L0		
P49736		
P36871		
P51153		
O75569		
Q9UID6		
P26368-2		
Q9H0W8		
Q9BWH2		
Q14566		
Q9P2K5		
Q8NE71-2		
Q8NG27-3		
Q00613		
Q5H9R7-2		
Q9UDY2		
Q8IXQ4		
Q9BYG3		
O00178		
Q53F19		
O15541		
P51580		
Q13309-2		
P40855		
Q86V59-2		
Q8NFG4		
O60508		
P00533		
P26599		
Q8WXE1-2		
Q8N1G4		
Q7L4I2		
Q14738		
P78346		
O95391		
P50502		
Q9UNE7		
O60825		
Q9Y4W2-3		
Q5M775-4		
O14681		
P48380		
Q99689		
Q86X53		
O75351		
Q9NSC5-5		
Q7Z6I8		
Q6UUV7-3		
Q8IY67		
Q5JVS0		
Q9Y5Q9-2		
Q13496		
Q9UN79		
Q9BWU0		
Q8NHV4-2		
Q86X95		
Q9HA47		
Q96S94		
Q9NZH5-2		
Q3YEC7		
Q9UBB9		
Q9Y5K3-4		
O60934		
Q9UKV3		
O15372		
Q8N6U8		
Q13523		
Q00536		
O95208-2		
P25788-2		
O43663		
P63208-2		
Q9Y3S2		
O94875-9		
Q15054		
Q6L8Q7		
P35579		
P61266		
Q9NR31		
Q9BT23		
P17302		
P29353-2		
Q71F23		
Q86YV5		
O43159		
P43487		
Q8TEW0-8		
O95425		
Q7Z6J0		
O15027		
Q13610		
Q9UQQ2		
Q14739		
O94804		
Q96AC1-2		
Q8NC56		
P11388		
P23193-2		
Q9UKL0		
Q9Y467		
Q5SYE7-2		
O95292		
Q9ULX7		
Q6PID6		
Q9NPI6		
Q9UMX1-2		
Q96F86		
B7Z275		
Q96FT9		
O14683		
O60271-4		
P98175-2		
Q08170		
P51674-3		
Q6NT76		
Q14671		
Q9UHY1		
Q9UKX7-2		
P18858		
Q86UU0		
Q9NRY4		
Q8TC07-2		
P35219		
Q9UPT8		
Q8TAQ2-2		
Q6FI81		
Q96N67-5		
Q9Y2K5		
P49407-2		
O15143		
Q13613		
Q9H0C8		
Q9BXB4		
Q9H063		
Q9Y2K2		
P06400		
Q9BZE9		
O94885		
Q02410		
Q8IXT5		
P52948-4		
Q15390-2		
Q5T200-2		
Q2M2I8		
Q99567		
Q96T60		
Q6WCQ1		
Q86UE4		
Q9UEW8		
P49916-2		
Q9NR12-6		
O15075-2		
O95235		
Q8TBZ3-5		
O00255		
Q96HR8-2		
Q14978		
Q9UER7		
O60684		
Q8ND24		
P43003-2		
Q9NYL9		
Q9UQ80		
Q9Y3T9		
Q8WWY3		
Q9H981		
Q8N567		
Q9UBP0-2		
Q8ND30		
Q86WC4		
Q9P266		
Q04726-2		
P17812		
Q66PJ3		
Q14123-2		
P10644		
O15240		
P49335		
P56524		
P38432		
O00291-3		
Q9HB20		
Q5VSL9		
Q15032		
P31350		
O43290		
Q8WXX5		
O96028-5		
O43166		
Q8NFH5		
Q8N122-3		
Q8NDI1-3		
Q15345-2		
Q15007		
P35606		
O95359-6		
Q96MU7-2		
Q8WY36-2		
Q14684		
Q13619		
Q13573		
Q8WX92		
Q99598		
Q13435		
Q15276-2		
Q9UN86-2		
Q01433		
O15530-4		
O00429-4		
P62753		
Q86TV6		
P28290-3		
Q96DR7		
Q15154		
O14497-2		
P46100-3		
Q70E73-10		
P51608		
P48436		
Q5VZ89		
Q9UHB7		
Q07343-3		
Q99549		
Q9H9C1-2		
Q06210-2		
Q12756		
Q8IUR0		
Q9UMZ2-6		
Q9BZZ5		
Q08174-2		
P53985		
Q53LP3		
P53396		
O95453-2		
O14974-5		
Q08AL8		
Q9NWH9		
Q5HYJ3		
Q96GX9		
Q9P0K1-2		
P36915		
Q96GM8		
Q9UKE5-8		
O95070		
P12268		
Q96T23		
O95297		
Q13428-2		
Q9NP66		
O94874		
Q8N573-5		
O60841		
Q7L1V2		
Q02880-2		
Q9BXA9		
Q08AD1-3		
Q7L7X3-3		
Q8IZL2		
Q01484-5		
Q9UDT6		
Q3V6T2-2		
P42566-2		
Q96JG6		
A0FGR8-2		
Q96EZ8		
Q13615-3		
Q9NVD7		
P20810-9		
Q9NZN4		
Q8TF72		
Q9Y6R1-2		
Q15057		
Q8WWI1-3		
Q9NR19		
Q01664		
Q8WUA4		
P20265		
Q9UNZ2-4		
Q99592		
P35580		
Q9BQA1		
Q92625		
O75909-3		
Q8TAP6		
O43660-2		
Q01850		
Q9NZN5-2		
Q9UN86		
Q9H0L4		
Q9BPU6		
P35612		
Q9Y6E0-2		
Q86YR5		
Q9BRQ0		
Q96RT1-7		
O95394		
Q9NQG5		
Q96CB8		
Q96MY1		
Q96JA1		
Q6IN85		
Q9P0K8		
O43395		
Q15149		
O75151		
